GroupID,Size,WheelchairAccess,Projector,Computer,FloorPreference,Start,End
G0001,32,False,True,True,2,2025-04-22 8:00,2025-04-22 9:00
G0002,35,False,True,False,-1,2025-04-22 9:30,2025-04-22 10:30
G0003,27,True,True,False,1,2025-04-22 11:00,2025-04-22 12:00
G0004,12,True,True,False,2,2025-04-22 12:30,2025-04-22 13:30
G0005,24,True,False,False,3,2025-04-22 14:00,2025-04-22 15:00
G0006,40,True,False,False,3,2025-04-22 15:30,2025-04-22 16:30
G0007,24,True,False,True,3,2025-04-22 17:00,2025-04-22 18:00
G0008,33,True,False,False,-1,2025-04-22 18:30,2025-04-22 19:30
G0009,12,True,False,False,-1,2025-04-22 20:00,2025-04-22 21:00
G0010,34,True,False,True,1,2025-04-22 21:30,2025-04-22 22:30
G0011,25,False,False,False,1,2025-04-23 8:00,2025-04-23 9:00
G0012,28,False,False,True,3,2025-04-23 9:30,2025-04-23 10:30
G0013,21,False,True,False,-1,2025-04-23 11:00,2025-04-23 12:00
G0014,37,True,True,False,3,2025-04-23 12:30,2025-04-23 13:30
G0015,19,False,False,True,3,2025-04-23 14:00,2025-04-23 15:00
G0016,12,True,True,False,-1,2025-04-23 15:30,2025-04-23 16:30
G0017,34,False,False,True,3,2025-04-23 17:00,2025-04-23 18:00
G0018,23,True,True,False,2,2025-04-23 18:30,2025-04-23 19:30
G0019,29,False,False,True,1,2025-04-23 20:00,2025-04-23 21:00
G0020,18,False,True,False,3,2025-04-23 21:30,2025-04-23 22:30
G0021,38,False,True,True,1,2025-04-24 8:00,2025-04-24 9:00
G0022,32,True,True,False,-1,2025-04-24 9:30,2025-04-24 10:30
G0023,27,False,True,True,-1,2025-04-24 11:00,2025-04-24 12:00
G0024,24,True,True,False,2,2025-04-24 12:30,2025-04-24 13:30
G0025,26,True,False,False,3,2025-04-24 14:00,2025-04-24 15:00
G0026,17,False,False,True,3,2025-04-24 15:30,2025-04-24 16:30
G0027,16,False,False,True,-1,2025-04-24 17:00,2025-04-24 18:00
G0028,18,False,True,False,2,2025-04-24 18:30,2025-04-24 19:30
G0029,36,True,True,False,3,2025-04-24 20:00,2025-04-24 21:00
G0030,37,True,False,False,3,2025-04-24 21:30,2025-04-24 22:30
G0031,21,True,False,False,3,2025-04-25 8:00,2025-04-25 9:00
G0032,24,True,True,True,3,2025-04-25 9:30,2025-04-25 10:30
G0033,17,False,True,False,3,2025-04-25 11:00,2025-04-25 12:00
G0034,32,False,False,True,3,2025-04-25 12:30,2025-04-25 13:30
G0035,40,True,True,False,2,2025-04-25 14:00,2025-04-25 15:00
G0036,37,True,False,True,3,2025-04-25 15:30,2025-04-25 16:30
G0037,10,True,False,True,-1,2025-04-25 17:00,2025-04-25 18:00
G0038,25,True,True,False,3,2025-04-25 18:30,2025-04-25 19:30
G0039,30,True,True,False,3,2025-04-25 20:00,2025-04-25 21:00
G0040,40,True,False,False,-1,2025-04-25 21:30,2025-04-25 22:30
G0041,29,True,True,False,1,2025-04-26 8:00,2025-04-26 9:00
G0042,33,True,False,True,-1,2025-04-26 9:30,2025-04-26 10:30
G0043,24,True,True,True,-1,2025-04-26 11:00,2025-04-26 12:00
G0044,20,True,True,False,2,2025-04-26 12:30,2025-04-26 13:30
G0045,23,True,True,False,3,2025-04-26 14:00,2025-04-26 15:00
G0046,28,True,True,True,-1,2025-04-26 15:30,2025-04-26 16:30
G0047,29,False,False,True,3,2025-04-26 17:00,2025-04-26 18:00
G0048,39,False,True,True,3,2025-04-26 18:30,2025-04-26 19:30
G0049,30,True,False,False,-1,2025-04-26 20:00,2025-04-26 21:00
G0050,38,False,True,False,1,2025-04-26 21:30,2025-04-26 22:30
G0051,12,False,True,False,2,2025-04-27 8:00,2025-04-27 9:00
G0052,30,False,True,False,2,2025-04-27 9:30,2025-04-27 10:30
G0053,16,False,False,True,1,2025-04-27 11:00,2025-04-27 12:00
G0054,22,False,True,False,2,2025-04-27 12:30,2025-04-27 13:30
G0055,32,True,True,False,2,2025-04-27 14:00,2025-04-27 15:00
G0056,10,False,True,False,3,2025-04-27 15:30,2025-04-27 16:30
G0057,36,True,True,False,2,2025-04-27 17:00,2025-04-27 18:00
G0058,17,True,False,False,1,2025-04-27 18:30,2025-04-27 19:30
G0059,30,True,True,False,3,2025-04-27 20:00,2025-04-27 21:00
G0060,11,False,True,True,-1,2025-04-27 21:30,2025-04-27 22:30
G0061,39,True,True,False,1,2025-04-28 8:00,2025-04-28 9:00
G0062,16,True,False,False,2,2025-04-28 9:30,2025-04-28 10:30
G0063,36,True,True,False,2,2025-04-28 11:00,2025-04-28 12:00
G0064,33,True,True,False,-1,2025-04-28 12:30,2025-04-28 13:30
G0065,14,True,False,False,2,2025-04-28 14:00,2025-04-28 15:00
G0066,12,False,True,False,-1,2025-04-28 15:30,2025-04-28 16:30
G0067,24,True,True,False,3,2025-04-28 17:00,2025-04-28 18:00
G0068,36,True,True,True,3,2025-04-28 18:30,2025-04-28 19:30
G0069,10,False,False,False,1,2025-04-28 20:00,2025-04-28 21:00
G0070,30,True,False,False,3,2025-04-28 21:30,2025-04-28 22:30
G0071,13,True,True,True,2,2025-04-29 8:00,2025-04-29 9:00
G0072,25,True,True,True,1,2025-04-29 9:30,2025-04-29 10:30
G0073,22,False,True,False,3,2025-04-29 11:00,2025-04-29 12:00
G0074,28,True,False,True,3,2025-04-29 12:30,2025-04-29 13:30
G0075,29,False,True,True,2,2025-04-29 14:00,2025-04-29 15:00
G0076,16,False,False,True,2,2025-04-29 15:30,2025-04-29 16:30
G0077,13,True,False,False,-1,2025-04-29 17:00,2025-04-29 18:00
G0078,22,True,True,True,3,2025-04-29 18:30,2025-04-29 19:30
G0079,12,True,False,True,-1,2025-04-29 20:00,2025-04-29 21:00
G0080,35,True,True,True,1,2025-04-29 21:30,2025-04-29 22:30
G0081,12,False,True,False,1,2025-04-30 8:00,2025-04-30 9:00
G0082,36,True,True,True,-1,2025-04-30 9:30,2025-04-30 10:30
G0083,18,True,True,False,2,2025-04-30 11:00,2025-04-30 12:00
G0084,35,True,True,True,1,2025-04-30 12:30,2025-04-30 13:30
G0085,10,True,True,False,2,2025-04-30 14:00,2025-04-30 15:00
G0086,10,True,True,True,1,2025-04-30 15:30,2025-04-30 16:30
G0087,33,False,False,True,-1,2025-04-30 17:00,2025-04-30 18:00
G0088,25,False,True,False,-1,2025-04-30 18:30,2025-04-30 19:30
G0089,24,False,True,False,-1,2025-04-30 20:00,2025-04-30 21:00
G0090,33,False,True,False,-1,2025-04-30 21:30,2025-04-30 22:30
G0091,11,False,False,False,-1,2025-05-01 8:00,2025-05-01 9:00
G0092,25,False,True,True,2,2025-05-01 9:30,2025-05-01 10:30
G0093,29,True,True,True,2,2025-05-01 11:00,2025-05-01 12:00
G0094,29,False,False,False,3,2025-05-01 12:30,2025-05-01 13:30
G0095,29,False,True,False,3,2025-05-01 14:00,2025-05-01 15:00
G0096,13,True,False,True,3,2025-05-01 15:30,2025-05-01 16:30
G0097,24,True,False,False,3,2025-05-01 17:00,2025-05-01 18:00
G0098,22,False,True,False,3,2025-05-01 18:30,2025-05-01 19:30
